x,y,z
112.548976,1.375344,-30.245039
90664.310495,1108.452782,-42175.279298
14.721417,0.181116,86.009038
88.791103,1.100754,47.716651
238.146854,2.967865,257.666284
113.404197,1.417007,66.370303
147.233898,1.859970,-242.953410
159.528610,2.032977,-92.668268
107.615933,1.374811,319.036068
165.728492,2.122085,461.326110
94.236506,1.211339,279.525206
367.571878,4.733908,-5.735445
121.841397,1.572237,-100.544611
57.451984,0.741591,-20.964675
165.809761,2.150847,9.799269
292.385468,3.795532,50.482930
267.540066,3.511722,43.040032
117.042189,1.536723,-81.183715
149.683001,1.968210,-266.666695
203.191445,2.691385,170.483479
223.616904,2.980918,-30.696132
30.437747,0.406142,46.399909
182.234803,2.434686,26.461824
109.580445,1.464448,15.930222
68.703030,0.928424,42.718014
151.917366,2.053110,197.751327
90428.958233,1223.765627,-42674.417517
87039.558780,1184.440220,49221.055543
185.830563,2.538830,-83.309585
119.201069,1.632794,110.190599
83.415941,1.157011,-38.173795
130.432066,1.813553,182.983227
181.950812,2.550422,-110.257916
163.524544,2.299016,51.728256
288.054151,4.051946,328.175043
94.461450,1.347427,-136.969528
183.968039,2.634792,-80.440932
152.458331,2.197913,98.435731
29.104890,0.421232,2.386423
199.821307,2.902105,157.509167
323.920976,4.722875,-68.536058
43084.184238,628.217759,-90240.558570
98.253960,1.432614,-7.122563
51380.617026,754.937233,85787.308291
297.544820,4.373065,129.853791
60.803745,0.901968,201.090342
163.491894,2.433727,-118.645150
367.005786,5.480609,-182.324833
514.343183,7.692611,-548.374856
338.894446,5.070187,683.988975
147.224965,2.203837,-81.619499
54.424217,0.815116,20.530091
52.909640,0.793760,-38.801012
360.260967,5.427454,525.241452
46389.580887,699.402979,88586.215748
153.174205,2.315881,205.617465
231.842877,3.545762,331.883340
571.648190,8.744921,201.125146
141.144447,2.160892,30.924749
264.152902,4.050378,-588.591490
789.302949,12.135364,-565.198658
19561.789242,300.985774,98067.557373
504.328313,7.798074,-118.556782
125.030389,1.940309,113.990647
182.901456,2.880849,-232.531103
55.490139,0.875951,-33.470217
418.760597,6.611852,-226.613145
122.084699,1.936581,341.125326
44.955216,0.718782,-69.670816
119.753665,1.916988,8.179677
252.856978,4.054764,-220.577579
34.224354,0.551293,-18.504503
91.497639,1.476258,103.203505
398.684152,6.451119,94.736258
48.322382,0.787571,-97.360579
79.670013,1.300177,-24.872663
111.694875,1.823201,100.666987
105.131447,1.771134,244.290098
110.908016,1.876469,173.302058
169.743701,2.873364,69.613257
41.255768,0.700176,-22.304365
39.786882,0.677413,-63.264315
55.624456,0.951516,-51.084234
74.217062,1.274393,19.029328
164.737996,2.835076,-166.430721
65.436090,1.128212,-61.440116
135.394748,2.334095,101.932247
48315.475362,834.569930,87549.518964
68.311683,1.181875,-76.213378
135.519563,2.345727,51.903330
46.308312,0.802061,-136.665343
172.392581,3.012257,37.107583
28.180272,0.493527,-166.550963
294.889158,5.196979,-235.399264
46597.447642,826.220505,88475.957895
180.408419,3.216297,-55.157032
85.991162,1.550478,-41.748243
131.495461,2.375853,201.908148
140.072119,2.548669,44.001623
84.237274,1.533161,99.945926
53.130073,0.968178,43.215465
417.265195,7.609950,83.121861
642.671089,11.736469,-55.400633
193.445399,3.544091,-112.312759
109.844962,2.016555,-19.651019
46495.354900,857.790357,88529.351835
349.502422,6.463852,-177.745071
127.682217,2.364756,-87.489016
262.073050,4.862820,-82.267921
49756.933941,923.964159,86737.499474
197.914779,3.682912,49.653559
135.962461,2.531402,293.667641
70.809804,1.318678,-34.412961
40109.293062,747.269847,91600.688850
132.526292,2.472483,-223.373437
55.720609,1.044452,-53.796524
91860.143242,1727.713591,-39480.743269
113.602468,2.139743,-42.637496
86.899520,1.641967,-25.793323
141.868214,2.683473,119.527612
108.886464,2.061556,-61.037283
123.730462,2.349941,-169.766126
355.973097,6.764985,495.015041
55.901505,1.063206,12.864324
252.525401,4.828683,-142.209759
25.778783,0.494592,-40.196984
30.293734,0.583610,-32.569547
45.625769,0.885706,73.225456
145.663137,2.826958,-143.506445
255.325504,5.006599,324.864820
630.150175,12.379991,-116.922329
90.138768,1.771039,-11.014491
27.582386,0.542750,-89.660383
210.716984,4.191364,-867.625833
12.827975,0.256651,-55.021003
56.577206,1.131274,173.836735
72.186722,1.446408,-218.252478
785.677162,15.780095,-277.320706
192.715672,3.874271,183.245654
324.864284,6.532816,-92.492694
367.154837,7.386286,-222.130825
286.452905,5.762477,258.814588
67.769521,1.367073,-445.321318
227.964145,4.600531,11.699052
611.451556,12.369178,349.152420
240.794017,4.873383,-303.687090
64217.544238,1300.752384,-76644.732730
76.730463,1.561994,-215.579540
540.769796,11.006313,-77.797268
146.501596,2.984351,99.826701
23.934179,0.487833,16.312653
178.014330,3.639959,20.357083
55.839008,1.142475,-166.311133
88.531651,1.811094,23.669367
35.956698,0.737440,85.415532
117.557918,2.417636,36.105208
351.366837,7.269448,442.359171
156.101757,3.237454,-98.937647
213.629098,4.433413,0.210715
137.661611,2.866331,3.694304
72.707646,1.516943,57.173628
37146.901698,780.673709,92841.252916
519.543649,10.956654,417.610869
181.298187,3.830054,20.393756
191.413215,4.048876,-108.908240
124.902138,2.641920,150.131439
117.956341,2.494830,113.818122
98.304595,2.087880,56.965593
364.356052,7.749051,466.167829
32.224052,0.688502,22.284640
291.750309,6.224453,-170.227545
194.916207,4.166685,-121.809155
345.814718,7.396876,446.710870
438.571210,9.409366,716.750782
178.713114,3.847530,89.703967
24.239722,0.522425,10.426465
198.661592,4.280038,295.228830
54.682120,1.178744,116.134647
84.961188,1.834821,-27.905369
62672.037997,1356.030432,77912.623077
49.685495,1.075186,50.879960
89296.268295,1939.076071,44971.284755
14.651660,0.318331,-40.733913
120.275752,2.614202,188.612524
37.511428,0.815937,-105.909899
148.804386,3.259799,78.059251
83503.099765,1831.721274,54989.791115
61.479064,1.349877,141.539654
41.448836,0.912359,-30.138357
